730582.8425	3631997.947	31.45	29.58
730581.3303	3631985.895	37.58	35.19
730580.944	3631981.901	33.88	31.62
730580.1614	3631973.821	34.1	31.05
730578.9649	3631961.875	39.73	35.38
730578.5264	3631957.947	37.32	33.26
730577.4308	3631949.982	37.37	34.09
730576.0533	3631937.884	36.69	33.39
730575.5674	3631933.808	30.75	27.64
730574.6282	3631925.802	22.77	20.66
730573.3344	3631914.193	22.82	21.38
730572.9581	3631910.247	22.52	20.35
730572.0121	3631902.347	23.9	21.22
730570.5654	3631890.437	25.42	22.82
730570.1459	3631886.437	22.37	20.33
730569.226	3631878.54	22.22	20.02
730567.8066	3631866.964	21.2	18.86
730567.3794	3631863.082	24.68	22.07
730566.5141	3631855.25	29.98	27.38
730565.2704	3631845.339	35.71	32.41
730565.0579	3631843.127	36.3	32.79
730565.2314	3631839.095	35.06	31.59
730570.9253	3631835.332	35.92	33.14
730573.9961	3631835.32	38	35.41
730579.2054	3631835.908	34.59	32.5
730583.3979	3631842.059	31.82	29.24
730583.9244	3631845.667	33.51	30.77
730584.719	3631853.478	29.27	27.1
730586.1514	3631865.924	27.2	25.8
730586.7413	3631870.102	27.27	25.19
730587.8973	3631878.411	23.07	21.16
730589.467	3631890.974	25.57	23.15
730589.9112	3631895.156	30.33	27.96
730590.892	3631903.512	28.79	26.98
730592.3539	3631916.12	30.59	28.84
730592.7992	3631920.264	33.88	30.83
730593.6481	3631928.469	38.15	35.23
730595.2634	3631940.622	35.61	33.39
730595.8028	3631944.624	40.05	36.72
730596.71	3631952.628	43.31	39.03
730597.5944	3631960.56	39.43	36.16
730598.3364	3631968.583	31.89	30.24
730599.2283	3631976.765	34.95	32.6
730600.0602	3631985.002	39.61	36.27
730600.9393	3631993.325	35.86	33.73
730601.8948	3632001.706	28.76	26.86
730602.6503	3632009.969	29.3	27.5
730603.4801	3632017.838	30.78	28.34
730604.0228	3632025.14	33.01	30.09
730604.5033	3632031.384	33.25	30.76
730605.0904	3632035.479	32	29.17
730606.8642	3632038.034	31.06	28.73
730609.7873	3632038.451	32.9	30.81
730611.8779	3632035.551	32.87	30.12
730611.7154	3632028.838	34.51	32.09
730611.1927	3632020.612	36.48	33.83
730611.2279	3632011.706	36.73	34.14
730611.4598	3631997.799	34.6	32.33
730611.5064	3631992.972	37.36	35
730611.6536	3631983.511	41	37.79
730612.0302	3631974.261	36.67	34.29
730612.2847	3631964.938	32.07	30.07
730612.662	3631955.685	35.19	32.62
730612.1462	3631946.68	38.55	35.62
730611.1657	3631937.902	43.75	39.54
730610.0454	3631929.382	36.61	33.72
